CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Tenure Group,Actual Churn,Churn Probability,Predicted Churn,Churn Probability %,Risk Level,Recommended Action
4376-KFVRS,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,4842,49+ Months,0,0.18403488050632028,0,18.4,Low Risk,Monitor
2754-SDJRD,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,5157,0-12 Months,0,0.8467756523178904,1,84.68,High Risk,Contract upgrade + Security offer
9917-KWRBE,Female,No,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,2894,25-48 Months,0,0.23015935964855516,0,23.02,Low Risk,Monitor
0365-GXEZS,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,2831,13-24 Months,0,0.7201149197645997,1,72.01,High Risk,Contract upgrade + Security offer
9385-NXKDA,Female,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,4324,49+ Months,0,0.08359798030353587,0,8.36,Low Risk,Monitor
4686-UXDML,Female,No,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,2113,13-24 Months,0,0.808075374925322,1,80.81,High Risk,Contract upgrade + Security offer
2227-JRSJX,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,5324,13-24 Months,0,0.713228539601548,1,71.32,High Risk,Contract upgrade + Security offer
4830-FAXFM,Male,No,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,2378,13-24 Months,0,0.10675423131485276,0,10.68,Low Risk,Monitor
1830-IPXVJ,Female,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,6108,49+ Months,0,0.003492830042849275,0,0.35,Low Risk,Monitor
4690-LLKUA,Male,Yes,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,3797,13-24 Months,1,0.6504803030031356,1,65.05,High Risk,Contract upgrade + Security offer
5804-HYIEZ,Male,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,4583,49+ Months,0,0.2621485790382416,0,26.21,Low Risk,Monitor
2388-LAESQ,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,4796,49+ Months,0,0.178831202335628,0,17.88,Low Risk,Monitor
5533-RJFTJ,Male,No,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,5214,49+ Months,0,0.32864733435961907,0,32.86,Low Risk,Monitor
4706-AXVKM,Female,Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,5118,0-12 Months,1,0.8473025802204636,1,84.73,High Risk,Contract upgrade + Security offer
0997-YTLNY,Female,No,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,3749,13-24 Months,0,0.10605428244169599,0,10.61,Low Risk,Monitor
7971-HLVXI,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,6202,49+ Months,0,0.053810187802904884,0,5.38,Low Risk,Monitor
7337-CINUD,Female,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,5206,0-12 Months,0,0.035154773115308846,0,3.52,Low Risk,Monitor
1379-FRVEB,Male,No,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,4602,13-24 Months,0,0.5520179880256858,0,55.2,Medium Risk,Monitor
4753-PADAS,Female,No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,5027,49+ Months,0,0.4294953261922881,0,42.95,Medium Risk,Monitor
